id,address,beds,baths,area,price,zestimate,best_deal,Lat,Long,Neighborhood_Geopy,pricem
2101637779,"54 Euston Rd, Brighton, MA 02135",2.0,1.0,,"$2,300/mo",0,2300.0,42.3433,-71.1467,Brighton,2300
2060515514,"Saratogahosdav Trust, 645 Saratoga St E #1, Boston, MA 02128",2.0,1.0,900,"$2,375/mo",0,2375.0,42.3821,-71.021,East Boston,2375
2111852722,"302 Washington St APT 1, Brighton, MA 02135",3.0,1.5,1100,"$2,400/mo",0,2400.0,42.3488,-71.1512,Brighton,2400
2060629547,"73 Harriet St #1F, Brighton, MA 02135",2.0,1.0,,"$2,400/mo",0,2400.0,42.3536,-71.1575,Brighton,2400
2060684906,"(undisclosed Address), Allston, MA 02134",1.0,1.0,100,"$2,450/mo",0,2450.0,,,No Details,2450
2066754091,"225 Centre, 225 Centre St, Roxbury, MA 02119",1.0,1.0,670.0,"$2,450+/mo",0,2450.0,42.3229,-71.0988,Roxbury,2450
2084516554,"BostonView Apartments, 130 Bowdoin St APT 307, Boston, MA 02108",1.0,1.0,570.0,"$2,500/mo",0,2500.0,42.3593,-71.0625,Beacon Hill,2500
2061060024,"572 Cummins Hwy #11, Mattapan, MA 02126",2.0,1.0,800,"$2,500/mo",0,2500.0,42.2735,-71.108,Mattapan,2500
2060652450,"3 bed, 1050 sqft, $2,500, 19 River Street Ter #10335704, Hyde Park, MA 02136",3.0,1.0,1050,"$2,500/mo",0,2500.0,42.2605,-71.1124,Hyde Park,2500
2062707504,"47 Hooker St APT 3, Allston, MA 02134",3.0,1.0,1100,"$2,500/mo",0,2500.0,42.3583,-71.1281,Allston,2500
2101609424,"74 Park St #1, Boston, MA 02132",2.0,1.0,950,"$2,500/mo",0,2500.0,42.2857,-71.1569,Roxbury,2500
2078469004,"19 Rowell St APT 1, Dorchester, MA 02125",2.0,1.0,1070,"$2,500/mo",0,2500.0,42.3136,-71.0642,Dorchester,2500
2113407258,"Washington Heights Apartments, 135 Washington St APT 43, Brighton, MA 02135",1.0,1.0,515,"$2,500/mo",0,2500.0,42.3456,-71.1453,Brighton,2500
2066822215,"(undisclosed Address), Boston, MA 02115",2.0,1.0,1000,"$2,500/mo",0,2500.0,,,No Details,2500
2094819419,"344 Hyde Park Ave #2, Boston, MA 02131",2.0,1.0,1100,"$2,500/mo",0,2500.0,42.2892,-71.118,Roslindale,2500
2060615988,"21 Whipple Ave FLOOR 3, Roslindale, MA 02131",2.0,1.0,900,"$2,550/mo",0,2550.0,42.2912,-71.1217,Roslindale,2550
189924799,"22-24 Kelley Ct, Brighton, MA 02135",2.0,1.0,560,"$2,600/mo",0,2600.0,42.3613,-71.1426,Brighton,2600
2078694410,"Valor, 1467 Tremont St #401, Roxbury Crossing, MA 02120",0.0,1.0,505.0,"$2,600/mo",0,2600.0,42.3321,-71.0979,Mission Hill,2600
2060517734,"217 K St FLOOR 1, Boston, MA 02127",2.0,1.0,800,"$2,650/mo",0,2650.0,42.336,-71.0376,South Boston,2650
2060516277,"1 bed, 1.0 bath, $2,650, 134 Sherman Rd #11696351, Chestnut Hill, MA 02467",1.0,1.0,,"$2,650/mo",0,2650.0,42.2994,-71.1595,Roxbury,2650
2060516813,"502 Washington St APT 5A, Brighton, MA 02135",3.0,1.5,1200,"$2,700/mo",0,2700.0,42.3488,-71.1621,Brighton,2700
2126710355,"56 Queensberry St APT G1, Boston, MA 02215",2.0,1.0,9999,"$2,700/mo",0,2700.0,42.3426,-71.0975,Fenway/Kenmore,2700
2060511792,"43 Worthington St #33, Roxbury Crossing, MA 02120",1.0,1.0,592,"$2,700/mo",0,2700.0,42.3347,-71.1019,Mission Hill,2700
2073574107,"Bowdoin School Apartments, 45 Myrtle St, Boston, MA 02114",1.0,1.0,620.0,"$2,700+/mo",0,2700.0,42.3596,-71.0661,Beacon Hill,2700
2126418912,"Kilsyth Manor Apartments, 111 Kilsyth Rd APT 5, Boston, MA 02135",2.0,1.0,800,"$2,795/mo",0,2795.0,42.3406,-71.1463,Brighton,2795
2120516251,"2 bed, 1.0 bath, $2,800, 122 Dustin St APT 16, Boston, MA 02135",2.0,1.0,1000,"$2,800/mo",0,2800.0,42.3546,-71.1448,Brighton,2800
