BusinessName,Address,ZIP,DESCRIPT,Latitude,Longitude,Neighborhood_Geopy
Bourbon Street Cafe,350 Longwood,2115,Eating & Drinking w/ Take Out,42.3391,-71.1081,Fenway/Kenmore
BPL Newsfeed Cafe,700 Boylston,2116,Eating & Drinking,42.3492,-71.0787,Back Bay
Brasserie,560 Harrison,2118,Eating & Drinking,42.3408,-71.0674,South End
Brassica Kitchen & Cafe,3710 Washington,2130,Eating & Drinking,42.3002,-71.1131,Roslindale
BREADWINNERS/STARBUCK'S,595 Commonwealth,2215,Eating & Drinking w/ Take Out,42.3496,-71.0998,Fenway/Kenmore
Breeze,130 Jersey,2215,Eating & Drinking w/ Take Out,42.3424,-71.0966,Fenway/Kenmore
Brendan Behan Pub,378 Centre,2130,Eating & Drinking,42.322,-71.1093,Jamaica Plain
BRICCO Restaurant/Bakery,239 Hanover,2113,Eating & Drinking,42.3631,-71.0549,North End
Brick House Pizza & Grille,256 Washington,2135,Eating & Drinking,42.3479,-71.1497,Brighton
Brigham & Womens Coffee Connection,75 Francis,2115,Eating & Drinking w/ Take Out,42.3361,-71.1075,Fenway/Kenmore
BRIGHAM CIRCLE CHINESE FOOD,728 Huntington,2115,Eating & Drinking w/ Take Out,42.3338,-71.1051,Mission Hill
Brighams & Womens Hospital - Tower Cafe,75 Francis,2115,Eating & Drinking,42.3361,-71.1075,Fenway/Kenmore
Bright-Landry Arena Briggs Cafe,65 Harvard,2163,Eating & Drinking w/ Take Out,42.3676,-71.1259,Allston
Brighton Bodega,328 Washington,2135,Eating & Drinking,42.3489,-71.1522,Brighton
BRIGHTON HOUSE OF PIZZA,218 Market,2135,Eating & Drinking w/ Take Out,42.3552,-71.1494,Brighton
Brighton Music Hall,156 Brighton,2134,Eating & Drinking,42.3528,-71.1326,Allston
Broadway Pastry,258 Broadway,2127,Eating & Drinking w/ Take Out,42.3394,-71.0514,South Boston
BROADWAY'S BEST PIZZA,483 Broadway,2127,Eating & Drinking w/ Take Out,42.3353,-71.0456,South Boston
Brother Deli Restaurant,1636 Blue Hill,2126,Eating & Drinking,42.2682,-71.0934,Mattapan
Brown Brothers Harriman & Co.,185 Franklin,2110,Eating & Drinking,42.3554,-71.0548,Downtown Boston
BROWN SUGAR CAFE,1033 Commonwealth,2215,Eating & Drinking,42.3523,-71.1218,Allston
Bruins Bar,1 Harborside,2128,Eating & Drinking,42.3634,-71.0257,East Boston
Bubble Bath,100 High,2110,Eating & Drinking,42.3544,-71.0554,Downtown Boston
Bubor Cha Cha,41 Beach,2111,Eating & Drinking,42.3513,-71.0609,No Details
BUKHARA INDIAN BISTRO,3698 Washington,2130,Eating & Drinking,42.3006,-71.1128,Roslindale
Bukowski Tavern,50 Dalton,2115,Eating & Drinking,42.3471,-71.0856,Fenway/Kenmore
Bunker Hill Kinghts of Columbu #62,545 Medford,2129,Eating & Drinking,42.3839,-71.0706,Charlestown
Burger King,1 Maverick,2128,Eating & Drinking w/ Take Out,42.3717,-71.0428,East Boston
Burger King,1200 Dorchester,2125,Eating & Drinking w/ Take Out,42.3095,-71.0577,Dorchester
Burger King,128 Tremont,2108,Eating & Drinking w/ Take Out,42.3563,-71.0619,Beacon Hill
Burger King,210 Brighton,2134,Eating & Drinking w/ Take Out,42.353,-71.135,Allston
Burger King,280 Broadway,2127,Eating & Drinking w/ Take Out,42.3392,-71.051,South Boston
Burger King,944 Bennington,2128,Eating & Drinking w/ Take Out,42.3862,-71.0095,East Boston
Burger King # 3483,1610 VFW,2132,Eating & Drinking w/ Take Out,42.2659,-71.168,Roxbury
Burger King # 3531,4594 Washington,2131,Eating & Drinking w/ Take Out,42.276,-71.1392,Roslindale
Burro Bar,1357 Washington,2118,Eating & Drinking,42.3417,-71.0693,South End
Buttermilk & Bourbon,160 Commonwealth,2116,Eating & Drinking,42.3513,-71.0786,Back Bay
C01/B01/Y01,4 Jersey,2215,Eating & Drinking w/ Take Out,42.3467,-71.0987,Fenway/Kenmore
Cactus Grill,42 Maverick,2128,Eating & Drinking w/ Take Out,42.3701,-71.0392,East Boston
Cafe 1924 @ Mass Financial Services,111 Huntington,2199,Eating & Drinking,42.3465,-71.0815,Back Bay
Cafe 24,24 Fenway,2215,Eating & Drinking w/ Take Out,42.3459,-71.0901,Fenway/Kenmore
Cafe 26,26 Temple,2111,Eating & Drinking w/ Take Out,42.3554,-71.0621,Beacon Hill
Cafe 472,472 Commonwealth,2215,Eating & Drinking w/ Take Out,42.3486,-71.0937,Fenway/Kenmore
Cafe 939,939 Boylston,2115,Eating & Drinking w/ Take Out,42.3482,-71.085,Back Bay
Cafe Amalfi,2 Battery Wharf,2109,Eating & Drinking,42.3672,-71.0502,North End
Cafe Beirut,650 Centre,2130,Eating & Drinking w/ Take Out,42.3131,-71.1139,Jamaica Plain
Cafe Bonjour,55 Temple,2111,Eating & Drinking w/ Take Out,42.3549,-71.0618,Downtown Boston
Cafe Iterum,25 Lewis,2128,Eating & Drinking w/ Take Out,42.3676,-71.0422,East Boston
